id,name,price,rooms,size,store,elevator,link,area,date_published
34621299,"Ático en calle blanca de navarra, 3, Almagro, Madrid 615 509 643 ",2200,2,45,5,t,/inmueble/34621299/,chamberi,2016-09-24
34615419,"Piso en Almagro, Madrid 912 663 857 ",1000,1,50,7,t,/inmueble/34615419/,chamberi,2016-09-24
34615289,"Piso en calle covarrubias, Trafalgar, Madrid 912 172 384 ",2000,3,106,3,t,/inmueble/34615289/,chamberi,2016-09-24
34613105,"Piso en calle general álvarez de castro, 27, Trafalgar, Madrid 914 893 527 ",1200,2,85,5,t,/inmueble/34613105/,chamberi,2016-09-24
34612492,"Piso en calle del monte esquinza, s/n, Almagro, Madrid 912 184 873 ",1300,2,110,1,t,/inmueble/34612492/,chamberi,2016-09-24
34612416,"Ático en Gaztambide, Madrid 912 663 214 ",1000,1,65,5,t,/inmueble/34612416/,chamberi,2016-09-24
34611242,"Piso en calle de santa engracia, 124, Nuevos Ministerios-Ríos Rosas, Madrid 914 892 216 ",995,1,45,3,t,/inmueble/34611242/,chamberi,2016-09-24
34610089,"Dúplex en calle de garcía de paredes, Trafalgar, Madrid 916 354 576 ",1700,2,85,4,t,/inmueble/34610089/,chamberi,2016-09-24
34609832,"Piso en calle de alonso cano, 50, Nuevos Ministerios-Ríos Rosas, Madrid 914 892 216 ",1300,2,75,2,t,/inmueble/34609832/,chamberi,2016-09-24
34605772,"Ático en calle de blasco de garay, 59, Gaztambide, Madrid 911 796 579 ",1000,1,60,6,t,/inmueble/34605772/,chamberi,2016-09-24
1885277,"Piso en paseo General Martínez Campos, 28, Almagro, Madrid 695 550 309 ",1250,1,73,2,t,/inmueble/1885277/,chamberi,2016-09-24
34598689,"Piso en jose abascal, Almagro, Madrid 608 617 235 ",1400,2,105,1,t,/inmueble/34598689/,chamberi,2016-09-24
34598323,"Piso en Gaztambide, Madrid 916 350 512 ",1000,1,60,6,t,/inmueble/34598323/,chamberi,2016-09-24
34598018,"Piso en calle de viriato, 2, Trafalgar, Madrid 914 113 253 ",725,1,35,3,t,/inmueble/34598018/,chamberi,2016-09-24
25431483,"Piso en calle de Galileo, 26, Arapiles, Madrid 649 410 866 ",680,1,48,5,t,/inmueble/25431483/,chamberi,2016-09-24
34595800,"Piso en calle donoso cortés, Gaztambide, Madrid 615 124 626 ",890,1,55,1,t,/inmueble/34595800/,chamberi,2016-09-24
2088573,"Piso en calle Fernández de los Ríos, 64, Gaztambide, Madrid 917 346 634 ",950,1,62,6,t,/inmueble/2088573/,chamberi,2016-09-24
34594145,"Ático en Gaztambide, Madrid 912 666 434 ",1000,1,60,3,t,/inmueble/34594145/,chamberi,2016-09-24
34591462,"Piso en calle de raimundo fernández villaverde, Nuevos Ministerios-Ríos Rosas, Madrid 912 660 483 ",2900,2,120,3,t,/inmueble/34591462/,chamberi,2016-09-24
33781165,"Piso en calle de sor ángela de la cruz, Cuzco-Castillejos, Madrid 912 179 024 ",1100,2,115,4,t,/inmueble/33781165/,tetuan,2016-09-24
32200404,"Estudio en calle general aranda, 26, Ventilla-Almenara, Madrid 616 941 369 ",795,0,90,0,f,/inmueble/32200404/,tetuan,2016-09-24
26522318,"Estudio en calle Mirto, 9, Valdeacederas, Madrid 633 111 267 ",700,0,70,1,f,/inmueble/26522318/,tetuan,2016-09-24
34613580,"Pide fotos al anunciantePiso en calle de emilia, 36, Ventilla-Almenara, Madrid 669 752 556 ",450,2,50,1,f,/inmueble/34613580/,tetuan,2016-09-24
25115231,"Piso en calle de Francos Rodríguez, 80, Bellas Vistas, Madrid 696 126 892 ",530,1,40,0,f,/inmueble/25115231/,tetuan,2016-09-24
34615031,"Piso en calle panizo, 28, Berruguete, Madrid 914 113 253 ",625,2,60,1,t,/inmueble/34615031/,tetuan,2016-09-24
25857978,"Piso en calle Capitán Blanco Argibay, 125, Valdeacederas, Madrid 606 237 714 ",450,1,35,1,t,/inmueble/25857978/,tetuan,2016-09-24
26374341,"Piso en calle Capitán Blanco Argibay, 120, Valdeacederas, Madrid 606 237 714 ",430,1,30,1,t,/inmueble/26374341/,tetuan,2016-09-24
34613662,"Piso en calle de raimundo fernández villaverde, Cuatro Caminos, Madrid 914 870 972 ",950,3,82,5,t,/inmueble/34613662/,tetuan,2016-09-24
34612984,"Piso en calle don quijote, 45, Cuatro Caminos, Madrid",750,2,55,1,f,/inmueble/34612984/,tetuan,2016-09-24
34609522,"Ático en calle de hernani, 49, Cuatro Caminos, Madrid",1100,1,69,6,t,/inmueble/34609522/,tetuan,2016-09-24
34609929,"Piso en calle cuenca, 4, Cuatro Caminos, Madrid 665 629 817 ",650,1,35,3,f,/inmueble/34609929/,tetuan,2016-09-24
34606587,"Piso en calle de la infanta mercedes, 62, Cuzco-Castillejos, Madrid 607 600 758 ",650,1,40,1,t,/inmueble/34606587/,tetuan,2016-09-24
34604433,"Piso en calle de francos rodríguez, 21, Bellas Vistas, Madrid 914 113 253 ",625,2,50,4,t,/inmueble/34604433/,tetuan,2016-09-24
34602547,"Piso en calle del capitán haya, Cuzco-Castillejos, Madrid 912 179 024 ",800,1,65,7,t,/inmueble/34602547/,tetuan,2016-09-24
34599029,"Estudio en calle de müller, 77, Valdeacederas, Madrid 667 366 774 ",450,0,40,2,t,/inmueble/34599029/,tetuan,2016-09-24
34598024,"Estudio en calle de hernani, Cuatro Caminos, Madrid 912 660 483 ",550,0,24,1,t,/inmueble/34598024/,tetuan,2016-09-24
34597806,"Piso en calle de serrallo, 16, Berruguete, Madrid",550,1,50,2,f,/inmueble/34597806/,tetuan,2016-09-24
34597768,"Piso en plaza ángel carbajo, 6, Cuzco-Castillejos, Madrid 911 138 339 ",1750,2,75,3,t,/inmueble/34597768/,tetuan,2016-09-24
1792039,"Piso en calle Dulcinea, 57, Cuatro Caminos, Madrid 649 903 248 ",1100,2,65,7,t,/inmueble/1792039/,tetuan,2016-09-24
34571674,"Estudio en calle del conde de serrallo, 1, Ventilla-Almenara, Madrid 616 179 539 ",470,0,32,5,t,/inmueble/34571674/,tetuan,2016-09-24
34564244,"Piso en paseo de la castellana, 151, Cuzco-Castillejos, Madrid 660 633 529 ",4500,5,330,8,t,/inmueble/34564244/,tetuan,2016-09-24
31316146,"Piso en calle nuestra señora del carmen, 45, Berruguete, Madrid 914 454 676 ",550,1,48,0,f,/inmueble/31316146/,tetuan,2016-09-24
34620422,"Piso en calle francisco goya, Nueva España, Madrid 918 003 291 ",750,1,45,2,t,/inmueble/34620422/,chamartin,2016-09-24
34562549,"Piso en calle menéndez pidal, Nueva España, Madrid 912 173 612 ",1225,1,70,2,t,/inmueble/34562549/,chamartin,2016-09-24
1980123,"Estudio en calle Sánchez Pacheco, 16, Ciudad Jardín, Madrid 649 473 348 ",600,0,30,1,t,/inmueble/1980123/,chamartin,2016-09-24
34612849,"Piso en calle de padre damián, 33, Nueva España, Madrid 649 888 871 ",690,2,45,9,t,/inmueble/34612849/,chamartin,2016-09-24
34596557,"Ático en calle antonio pérez, 4, El Viso, Madrid 669 003 180 ",850,1,58,3,t,/inmueble/34596557/,chamartin,2016-09-24
34611196,"Piso en calle de pablo luna, Castilla, Madrid 912 787 123 ",900,3,90,0,f,/inmueble/34611196/,chamartin,2016-09-24
34604238,"Dúplex en calle apolonio morales, 6, Nueva España, Madrid 649 585 870 ",1600,2,90,4,t,/inmueble/34604238/,chamartin,2016-09-24
34598964,"Piso en Bernabéu-Hispanoamérica, Madrid 917 822 400 ",1200,2,77,0,f,/inmueble/34598964/,chamartin,2016-09-24
34598957,"Piso en Nueva España, Madrid 917 822 400 ",1950,1,75,0,f,/inmueble/34598957/,chamartin,2016-09-24
2061992,"Piso en calle Sánchez Pacheco, 81, Ciudad Jardín, Madrid 616 424 707 ",750,1,40,1,t,/inmueble/2061992/,chamartin,2016-09-24
34591435,"Piso en Castilla, Madrid 687 380 624 ",1000,1,70,8,t,/inmueble/34591435/,chamartin,2016-09-24
34579388,"Piso en calle de lópez de hoyos, 74, Prosperidad, Madrid 660 302 162 ",1000,4,120,5,t,/inmueble/34579388/,chamartin,2016-09-24
33983156,"Piso en calle del príncipe de vergara, Bernabéu-Hispanoamérica, Madrid 912 171 639 ",1200,1,85,5,t,/inmueble/33983156/,chamartin,2016-09-24
34541450,"Piso en calle bolivia, 16, Bernabéu-Hispanoamérica, Madrid 610 090 487 ",1500,3,110,4,t,/inmueble/34541450/,chamartin,2016-09-24
34313241,"Piso en calle del maestro lassalle, 24, Nueva España, Madrid 699 060 693 ",1950,1,170,0,f,/inmueble/34313241/,chamartin,2016-09-24
